Database：Quarterly 
Time：4Q 2021-1Q 2026 
Indicators	,1Q 2026	,4Q 2025	,3Q 2025	,2Q 2025	,1Q 2025	,4Q 2024	,3Q 2024	,2Q 2024	,1Q 2024	,4Q 2023	,3Q 2023	,2Q 2023	,1Q 2023	,4Q 2022	,3Q 2022	,2Q 2022	,1Q 2022	,4Q 2021	,
Gross Domestic Product, Current Quarter (100 million yuan) 	,334192.9	,387911.3	,354106.2	,341395.3	,318466.4	,373512.4	,341443.2	,328585.4	,304525.2	,357224.8	,328440.7	,316237.5	,292368.8	,342342.4	,315399.6	,299111.5	,277175.8	,332826.7	,
Gross Domestic Product, Accumulated (100 million yuan) 	,334192.9	,1401879.2	,1013967.9	,659861.6	,318466.4	,1348066.2	,974553.8	,633110.6	,304525.2	,1294271.7	,937047.0	,608606.3	,292368.8	,1234029.4	,891687.0	,576287.3	,277175.8	,1173823.0	,
Value-added of the Primary Industry, Current Quarter (100 million yuan) 	,11940.8	,35159.7	,26952.3	,19505.0	,11729.8	,34138.3	,26964.5	,19057.5	,11475.6	,33213.5	,25759.7	,18695.5	,11500.4	,33450.1	,25653.5	,18182.7	,10920.7	,31539.1	,
Value-added of the Primary Industry, Accumulated (100 million yuan) 	,11940.8	,93346.8	,58187.1	,31234.8	,11729.8	,91635.8	,57497.5	,30533.1	,11475.6	,89169.1	,55955.6	,30195.9	,11500.4	,88207.0	,54756.9	,29103.4	,10920.7	,83216.5	,
Value-added of the Secondary Industry, Current Quarter (100 million yuan) 	,116134.9	,136803.3	,124587.1	,126713.3	,111549.3	,135068.1	,122810.3	,124509.4	,107917.6	,131746.0	,119681.7	,119928.9	,104579.5	,128172.4	,117848.5	,118689.2	,102919.5	,129572.3	,
Value-added of the Secondary Industry, Accumulated (100 million yuan) 	,116134.9	,499653.0	,362849.7	,238262.6	,111549.3	,490305.4	,355237.3	,232427.0	,107917.6	,475936.1	,344190.1	,224508.4	,104579.5	,467629.6	,339457.2	,221608.7	,102919.5	,447138.2	,
Value-added of the Tertiary Industry, Current Quarter (100 million yuan) 	,206117.2	,215948.3	,202566.8	,195176.9	,195187.3	,204306.0	,191668.5	,185018.5	,185132.0	,192265.3	,182999.2	,177613.2	,176288.8	,180719.8	,171897.6	,162239.6	,163335.6	,171715.3	,
Value-added of the Tertiary Industry, Accumulated (100 million yuan) 	,206117.2	,808879.3	,592931.1	,390364.3	,195187.3	,766124.9	,561819.0	,370150.5	,185132.0	,729166.5	,536901.2	,353902.0	,176288.8	,678192.7	,497472.9	,325575.3	,163335.6	,643468.4	,
Value-added of Agriculture, Forestry, Animal Husbandry and Fishery industries, Current Quarter (100 million yuan) 	,12850.5	,37258.0	,28505.8	,20766.2	,12577.0	,36072.4	,28407.4	,20229.1	,12267.1	,34964.6	,27037.3	,19747.4	,12217.8	,35059.0	,26823.9	,19121.9	,11572.0	,32921.4	,
Value-added of Agriculture, Forestry, Animal Husbandry and Fishery industries, Accumulated (100 million yuan) 	,12850.5	,99106.9	,61849.0	,33343.2	,12577.0	,96976.0	,60903.6	,32496.2	,12267.1	,93967.0	,59002.4	,31965.1	,12217.8	,92576.8	,57517.8	,30693.9	,11572.0	,86994.8	,
