Database：Quarterly 
Time：4Q 2021-1Q 2026 
Indicators	,1Q 2026	,4Q 2025	,3Q 2025	,2Q 2025	,1Q 2025	,4Q 2024	,3Q 2024	,2Q 2024	,1Q 2024	,4Q 2023	,3Q 2023	,2Q 2023	,1Q 2023	,4Q 2022	,3Q 2022	,2Q 2022	,1Q 2022	,4Q 2021	,
Indices of Gross Domestic Product (preceding year=100) , Current Quarter	,105.0	,104.5	,104.8	,105.2	,105.4	,105.4	,104.6	,104.7	,105.3	,105.3	,105.0	,106.5	,104.7	,103.0	,104.0	,100.8	,104.8	,104.5	,
Indices of Gross Domestic Product (preceding year=100) , Accumulated	,105.0	,105.0	,105.2	,105.3	,105.4	,105.0	,104.8	,104.9	,105.3	,105.4	,105.4	,105.7	,104.7	,103.1	,103.2	,102.7	,104.8	,108.6	,
Indices of Value-added of the Primary Industry (preceding year=100) , Current Quarter	,103.8	,104.2	,104.0	,103.8	,103.5	,103.9	,103.4	,103.8	,103.5	,104.2	,104.2	,103.7	,103.7	,104.0	,103.4	,104.4	,106.1	,106.4	,
Indices of Value-added of the Primary Industry (preceding year=100) , Accumulated	,103.8	,103.9	,103.8	,103.7	,103.5	,103.7	,103.5	,103.7	,103.5	,104.1	,104.0	,103.7	,103.7	,104.2	,104.3	,105.1	,106.1	,107.1	,
Indices of Value-added of the Secondary Industry (preceding year=100) , Current Quarter	,104.9	,103.4	,104.2	,104.8	,105.9	,104.9	,104.3	,105.3	,105.7	,105.1	,104.3	,104.9	,102.9	,101.9	,103.4	,100.2	,104.0	,102.5	,
Indices of Value-added of the Secondary Industry (preceding year=100) , Accumulated	,104.9	,104.5	,104.9	,105.3	,105.9	,105.0	,105.1	,105.5	,105.7	,104.4	,104.1	,104.0	,102.9	,102.3	,102.4	,102.0	,104.0	,108.2	,
Indices of Value-added of the Tertiary Industry (preceding year=100) , Current Quarter	,105.2	,105.2	,105.4	,105.7	,105.3	,105.9	,104.9	,104.3	,105.1	,105.7	,105.6	,107.9	,105.9	,103.6	,104.4	,100.8	,105.3	,105.5	,
Indices of Value-added of the Tertiary Industry (preceding year=100) , Accumulated	,105.2	,105.4	,105.4	,105.5	,105.3	,105.1	,104.8	,104.7	,105.1	,106.3	,106.5	,106.9	,105.9	,103.5	,103.5	,103.0	,105.3	,109.0	,
Indices of Value-added of Agriculture, Forestry, Animal Husbandry and Fishery industries (preceding year=100) , Current Quarter	,104.0	,104.3	,104.1	,104.0	,103.7	,104.2	,103.8	,104.1	,103.9	,104.3	,104.3	,104.0	,103.8	,104.2	,103.7	,104.6	,106.2	,106.5	,
Indices of Value-added of Agriculture, Forestry, Animal Husbandry and Fishery industries (preceding year=100) , Accumulated	,104.0	,104.1	,104.0	,103.9	,103.7	,104.0	,103.9	,104.0	,103.9	,104.2	,104.1	,103.9	,103.8	,104.4	,104.5	,105.2	,106.2	,107.1	,
Indices of Value-added of Industry (preceding year=100) , Current Quarter	,106.1	,105.0	,105.8	,106.2	,106.3	,105.6	,104.9	,105.8	,105.9	,104.8	,103.8	,104.2	,102.5	,101.4	,103.1	,100.1	,104.8	,104.1	,
Indices of Value-added of Industry (preceding year=100) , Accumulated	,106.1	,105.8	,106.1	,106.2	,106.3	,105.5	,105.5	,105.8	,105.9	,103.8	,103.5	,103.3	,102.5	,102.3	,102.6	,102.4	,104.8	,109.8	,
Indices of Value-added of Manufacturing (preceding year=100) , Current Quarter	,106.3	,105.1	,106.3	,106.5	,106.8	,106.0	,104.8	,106.0	,106.2	,104.8	,104.1	,104.4	,102.3	,100.6	,101.9	,98.9	,103.8	,104.0	,
Indices of Value-added of Manufacturing (preceding year=100) , Accumulated	,106.3	,106.1	,106.5	,106.6	,106.8	,105.8	,105.7	,106.1	,106.2	,103.9	,103.6	,103.4	,102.3	,101.2	,101.5	,101.3	,103.8	,110.7	,
Indices of Value-added of Construction (preceding year=100) , Current Quarter	,96.2	,97.5	,97.7	,99.4	,103.1	,102.5	,102.0	,103.3	,104.8	,106.7	,106.7	,108.3	,106.8	,104.4	,105.3	,101.0	,98.8	,96.9	,
Indices of Value-added of Construction (preceding year=100) , Accumulated	,96.2	,98.9	,99.5	,100.7	,103.1	,102.9	,103.1	,103.8	,104.8	,107.1	,107.4	,107.8	,106.8	,102.9	,102.2	,100.2	,98.8	,101.1	,
Indices of Value-added of Wholesale and Retail Trades (preceding year=100) , Current Quarter	,104.1	,103.7	,104.9	,106.0	,105.8	,106.7	,106.0	,106.3	,107.0	,107.6	,106.1	,108.6	,106.6	,102.9	,104.2	,100.8	,106.5	,106.8	,
Indices of Value-added of Wholesale and Retail Trades (preceding year=100) , Accumulated	,104.1	,105.0	,105.6	,105.9	,105.8	,106.5	,106.4	,106.6	,107.0	,107.2	,107.1	,107.6	,106.6	,103.5	,103.7	,103.5	,106.5	,112.1	,
Indices of Value-added of Transport, Storage and Post (preceding year=100) , Current Quarter	,104.3	,103.4	,104.8	,105.6	,107.2	,107.5	,106.2	,106.1	,106.9	,109.5	,108.6	,108.9	,105.0	,97.6	,104.3	,98.0	,103.7	,106.8	,
Indices of Value-added of Transport, Storage and Post (preceding year=100) , Accumulated	,104.3	,105.2	,105.8	,106.4	,107.2	,106.7	,106.4	,106.5	,106.9	,108.0	,107.6	,107.0	,105.0	,100.8	,102.0	,100.7	,103.7	,115.3	,
Indices of Value-added of Hotels and Catering Services (preceding year=100) , Current Quarter	,104.3	,105.6	,103.6	,105.2	,105.1	,107.2	,106.5	,106.5	,107.9	,116.5	,114.5	,119.3	,115.4	,95.3	,103.9	,95.9	,101.0	,107.6	,
Indices of Value-added of Hotels and Catering Services (preceding year=100) , Accumulated	,104.3	,104.9	,104.6	,105.2	,105.1	,107.0	,106.9	,107.2	,107.9	,116.3	,116.2	,117.3	,115.4	,98.9	,100.5	,98.4	,101.0	,117.6	,
Indices of Value-added of Financial Intermediation (preceding year=100) , Current Quarter	,106.5	,103.3	,105.2	,105.8	,103.8	,104.7	,104.3	,102.5	,103.4	,104.4	,104.9	,106.1	,105.4	,101.9	,101.5	,102.0	,101.0	,103.2	,
Indices of Value-added of Financial Intermediation (preceding year=100) , Accumulated	,106.5	,104.5	,104.9	,104.8	,103.8	,103.7	,103.4	,102.9	,103.4	,105.2	,105.5	,105.7	,105.4	,101.6	,101.5	,101.5	,101.0	,102.4	,
Indices of Value-added of Real Estate (preceding year=100) , Current Quarter	,99.9	,99.0	,99.8	,101.0	,101.0	,101.7	,98.4	,95.9	,95.3	,97.8	,97.9	,99.4	,101.8	,95.1	,97.9	,95.2	,100.1	,96.6	,
Indices of Value-added of Real Estate (preceding year=100) , Accumulated	,99.9	,100.2	,100.6	,101.0	,101.0	,97.8	,96.5	,95.6	,95.3	,99.3	,99.7	,100.6	,101.8	,97.0	,97.7	,97.6	,100.1	,104.1	,
Indices of Value-added of Information Transmission, Software and Information Technology (preceding year=100) , Current Quarter	,110.6	,110.7	,111.7	,111.8	,110.3	,110.5	,110.8	,111.0	,114.5	,111.6	,110.8	,115.2	,111.8	,113.6	,111.6	,111.2	,114.6	,112.1	,
Indices of Value-added of Information Transmission, Software and Information Technology (preceding year=100) , Accumulated	,110.6	,111.1	,111.2	,111.1	,110.3	,111.7	,112.1	,112.7	,114.5	,112.4	,112.6	,113.5	,111.8	,112.7	,112.5	,112.9	,114.6	,117.8	,
Indices of Value-added of Leasing and Business Services (preceding year=100) , Current Quarter	,112.2	,112.7	,108.6	,109.0	,110.2	,111.8	,111.5	,109.5	,111.5	,111.0	,111.0	,117.2	,108.4	,108.9	,108.7	,100.0	,108.5	,113.1	,
Indices of Value-added of Leasing and Business Services (preceding year=100) , Accumulated	,112.2	,110.3	,109.2	,109.6	,110.2	,111.1	,110.9	,110.5	,111.5	,111.7	,112.0	,112.6	,108.4	,106.8	,105.9	,104.3	,108.5	,113.8	,
Indices of Value-added of Others (preceding year=100) , Current Quarter	,104.0	,105.9	,105.5	,104.4	,104.1	,104.3	,103.4	,103.6	,104.3	,103.6	,104.8	,107.1	,104.9	,107.4	,106.0	,101.4	,106.6	,106.5	,
Indices of Value-added of Others (preceding year=100) , Accumulated	,104.0	,105.0	,104.7	,104.2	,104.1	,103.9	,103.8	,104.0	,104.3	,105.0	,105.6	,106.0	,104.9	,105.4	,104.7	,104.1	,106.6	,107.7	,
Note：1. Data are calclulated at constant prices.
2. According to the Three Industries Classification Regulations enacted in 2012 by the NBS, the Three Industries are divided into primary industry, secondary industry and tertiary industry. Primary industry refers to agriculture, forestry, animal husbandry and fisheries (excluding services to agriculture, forestry, animal husbandry and fisheries); secondary industry refers to mining (excluding mining and support activities), manufacturing (excluding repair services of metal products, machinery and equipment), production and supply of electricity, heat, gas and water, and construction; tertiary industry is the service industry, and refers to all other industries not included in primary and secondary industries.
3. The industrial classification is based on the "Industrial Classification for National Economic Activities" (GB/T4754-2011).
4. For data before 2015, other service industries include 9 sectors, ie, information transmission, software and information technology services; leasing and business services; scientific research and technical services; management of water conservancy, environment and public facilities; resident services, repair and other services; education; health care and social services; culture, sports and entertainment; public management, social security and social organizations. For data since Q1-2015, other service industries include 7 sectors, ie, scientific research and technical services; management of water conservancy, environment and public facilities; resident services, repair and other services; education; health care and social services; culture, sports and entertainment; public management, social security and social organizations.
Data Sources：National Bureau of Statistics
